dt,t10,moisture,t0
1546300800,285.355,0.142,278.845
1546344000,288.159,0.117,294.994
1546387200,285.842,0.134,279.881
1546430400,288.509,0.119,295.016
1546473600,286.198,0.137,279.095
1546516800,288.838,0.119,294.83
1546560000,286.71,0.137,280.491
1546603200,289.013,0.128,295.203
1546646400,287.476,0.143,281.929
1546689600,289.437,0.124,293.955
1546732800,287.476,0.139,281.318
1546776000,288.901,0.133,292.559
1546819200,285.891,0.145,278.142
1546862400,287.913,0.118,292.586
1546905600,285.252,0.136,278.968
1546948800,287.462,0.12,292.829
1546992000,285.32,0.138,279.933
1547035200,287.933,0.121,294.023
1547078400,285.89,0.14,279.811
1547121600,289.278,0.108,297.957
1547164800,289.456,0.133,287.57
1547208000,291.377,0.12,295.029
1547251200,289.838,0.141,285.247
1547294400,291.696,0.105,295.329
1547337600,289.564,0.127,282.546
1547380800,290.331,0.126,293.144
1547424000,288.133,0.144,282.207
1547467200,289.312,0.129,292.543
1547510400,287.061,0.147,279.944
1547553600,288.985,0.104,295.226
1547596800,286.766,0.126,281.365
1547640000,289.589,0.108,295.95
1547683200,288.094,0.131,282.709
1547726400,289.603,0.116,294.44
1547769600,288.223,0.139,283.562
1547812800,290.253,0.116,296.169
1547856000,288.187,0.138,281.482
1547899200,289.791,0.119,294.829
1547942400,287.691,0.137,281.467
1547985600,290.097,0.113,296.343
1548028800,289.097,0.132,286.607
1548072000,289.647,0.192,289.944
1548115200,286.826,0.19,279.471
1548158400,288.526,0.141,293.288
1548201600,285.902,0.159,277.458
1548244800,287.664,0.144,292.386
1548288000,285.617,0.162,278.273
1548331200,287.121,0.136,291.501
1548374400,284.947,0.16,277.323
1553731200,301.433,0.098,293.665
1553774400,304.374,0.075,312.751
1553817600,302.913,0.093,296.845
1553860800,305.436,0.079,313.439
1553904000,303.301,0.09,293.533
1553947200,305.565,0.068,312.246
1553990400,302.012,0.083,291.131
1554033600,304.978,0.066,312.883
1554076800,301.42,0.08,290.937
1554120000,304.805,0.065,312.681
1554163200,301.703,0.08,292.354
1554206400,305.344,0.073,314.119
1554249600,303.159,0.085,294.664
1554292800,306.199,0.073,313.955
1554336000,304.222,0.085,296.387
1554379200,307.551,0.068,315.694
